Date,Entraînement,Heure,Exercice,Région,Groupes musculaires (Primaires),Groupes musculaires (Secondaires),Série / Série d'échauffement / Série de récupération,Répétitions / Temps,Poids / Distance,Notes,Sautée
29/08/2025,"Pecs Dos 2",16:05,"Traction à la Barre Fixe",Dos,"Trapèzes, Muscles dorsaux","Biceps",Série,"13 répétitions","0,00 kg",,Non
29/08/2025,"Pecs Dos 2",16:07,"Traction à la Barre Fixe",Dos,"Trapèzes, Muscles dorsaux","Biceps",Série,"10 répétitions","0,00 kg",,Non
29/08/2025,"Pecs Dos 2",16:10,"Développé couché",Pectoraux,"Pectoraux","Triceps",Échauffement,"8 répétitions","50,0 kg","Échauffement",Non
29/08/2025,"Pecs Dos 2",16:12,"Développé couché",Pectoraux,"Pectoraux","Triceps",Série,"8 répétitions","70,0 kg",,Non
29/08/2025,"Pecs Dos 2",16:14,"Développé couché",Pectoraux,"Pectoraux","Triceps",Série,"6 répétitions","75,0 kg","Forme parfaite",Non
30/08/2025,"Upper Body",09:00,"Développé couché",Pectoraux,"Pectoraux","Triceps",Échauffement,"10 répétitions","60,0 kg",,Non
30/08/2025,"Upper Body",09:05,"Développé couché",Pectoraux,"Pectoraux","Triceps",Série,"8 répétitions","80,0 kg",,Non
30/08/2025,"Upper Body",09:08,"Développé couché",Pectoraux,"Pectoraux","Triceps",Série,"6 répétitions","85,0 kg","Difficile",Non
30/08/2025,"Upper Body",09:12,"Squat",Jambes,"Quadriceps","Fessiers",Série,"12 répétitions","100,0 kg",,Non
31/08/2025,"Legs",14:30,"Squat",Jambes,"Quadriceps","Fessiers",Échauffement,"10 répétitions","60,0 kg",,Non
31/08/2025,"Legs",14:35,"Squat",Jambes,"Quadriceps","Fessiers",Série,"8 répétitions","120,0 kg",,Non
31/08/2025,"Legs",14:38,"Squat",Jambes,"Quadriceps","Fessiers",Série,"","120,0 kg","Échec à la 5e",Oui
